Supplementary table 2.1: Associations between BMI germline PGS and TCGA UCEC tumour gene expression,,,,,
Gene,Beta,Standard error,Z-score,P-value,False discovery rate
LOC100101266,-0.0728,0.0573,-1.2709,2.05E-01,0.9167
ZSWIM1,0.0643,0.0506,1.2708,2.05E-01,0.9167
GPR61,-0.0684,0.0538,-1.2707,2.05E-01,0.9167
STRC,-0.0842,0.0663,-1.2706,2.05E-01,0.9167
RNASEH2A,-0.0691,0.0544,-1.2702,2.05E-01,0.9167
INF2,-0.0697,0.0549,-1.2702,2.05E-01,0.9167
ST6GALNAC6,0.0645,0.0508,1.2698,2.05E-01,0.9167
LINGO3,0.0754,0.0593,1.2697,2.05E-01,0.9167
SP140,0.0753,0.0593,1.2697,2.05E-01,0.9167
CHPF2,0.0617,0.0486,1.2696,2.05E-01,0.9167
ARHGAP4,-0.0709,0.0559,-1.2693,2.05E-01,0.9167
LOC26102,0.0745,0.0587,1.2692,2.05E-01,0.9167
SLC2A10,0.0693,0.0546,1.2691,2.05E-01,0.9167
LLGL1,0.0658,0.0518,1.2691,2.05E-01,0.9167
HIST1H2BF,-0.0847,0.0667,-1.2689,2.05E-01,0.9167
RAB11FIP2,-0.0668,0.0527,-1.2689,2.05E-01,0.9167
GFOD1,0.075,0.0591,1.2689,2.05E-01,0.9167
HIGD2A,-0.0677,0.0534,-1.2688,2.05E-01,0.9167
TIMM44,-0.0674,0.0531,-1.2678,2.06E-01,0.9178
TNFRSF10C,0.081,0.0639,1.2677,2.06E-01,0.9178
CHRNA1,0.0878,0.0693,1.2677,2.06E-01,0.9178
LOC401093,-0.0655,0.0516,-1.2676,2.06E-01,0.9178
RFESD,-0.0654,0.0516,-1.2672,2.06E-01,0.9181
SIRPB2,0.0706,0.0557,1.2671,2.06E-01,0.9181
CG030,-0.0682,0.0538,-1.2669,2.06E-01,0.9182
BFSP1,-0.0691,0.0546,-1.2664,2.06E-01,0.9183
TRIM46,-0.0779,0.0615,-1.266,2.06E-01,0.9183
CBLL1,0.0514,0.0406,1.2659,2.06E-01,0.9183
MFAP3L,0.0739,0.0584,1.2659,2.06E-01,0.9183
DPP4,0.075,0.0592,1.2659,2.06E-01,0.9183
ARAP2,0.0661,0.0523,1.2658,2.06E-01,0.9183
JMJD1C,0.0559,0.0442,1.2655,2.07E-01,0.9183
QPRT,0.0759,0.06,1.2654,2.07E-01,0.9183
CLIC4,0.059,0.0467,1.2654,2.07E-01,0.9183
ZCCHC12,0.0739,0.0584,1.2653,2.07E-01,0.9183
CORO1A,0.0728,0.0575,1.2653,2.07E-01,0.9183
KRTAP5-1,-0.0782,0.0618,-1.2646,2.07E-01,0.9188
SOX15,-0.0739,0.0585,-1.2641,2.07E-01,0.9188
DNAH1,-0.0771,0.061,-1.2641,2.07E-01,0.9188
TNFSF9,0.0783,0.0619,1.2639,2.07E-01,0.9188
PPOX,-0.071,0.0562,-1.2639,2.07E-01,0.9188
MYCN,0.0786,0.0622,1.2638,2.07E-01,0.9188
LRRIQ1,-0.0761,0.0602,-1.2638,2.07E-01,0.9188
UBE4B,0.0537,0.0425,1.2635,2.07E-01,0.9188
LIPG,0.0747,0.0591,1.2633,2.07E-01,0.9188
TSC22D4,-0.0626,0.0495,-1.263,2.07E-01,0.9188
NPTN,0.0537,0.0425,1.2629,2.08E-01,0.9188
PPTC7,0.0596,0.0472,1.2629,2.08E-01,0.9188
SLC47A2,0.0794,0.0629,1.2629,2.08E-01,0.9188
LTB4R2,-0.0663,0.0525,-1.2627,2.08E-01,0.9188
ZNF20,-0.0574,0.0455,-1.2627,2.08E-01,0.9188
RAB11A,0.0549,0.0435,1.2624,2.08E-01,0.9188
TALDO1,0.0641,0.0508,1.2624,2.08E-01,0.9188
RARB,-0.0697,0.0552,-1.2623,2.08E-01,0.9188
CADM2,-0.0721,0.0571,-1.2623,2.08E-01,0.9188
DGAT1,-0.0717,0.0568,-1.262,2.08E-01,0.9188
CLDN6,-0.0737,0.0584,-1.2617,2.08E-01,0.9188
C12orf50,-0.0848,0.0672,-1.2616,2.08E-01,0.9188
MORC2,-0.0532,0.0421,-1.2615,2.08E-01,0.9188
SP110,0.0623,0.0494,1.2615,2.08E-01,0.9188
DCAF16,-0.0523,0.0414,-1.2613,2.08E-01,0.9188
POLR2K,-0.0565,0.0448,-1.261,2.08E-01,0.9188
KRT36,-0.0808,0.0641,-1.2609,2.08E-01,0.9188
QSOX1,0.0688,0.0545,1.2608,2.08E-01,0.9188
DDX4,-0.0727,0.0577,-1.2605,2.08E-01,0.9188
NFE2L3,-0.0757,0.0601,-1.2605,2.08E-01,0.9188
ERI3,-0.0557,0.0442,-1.2604,2.08E-01,0.9188
UCP3,-0.0739,0.0586,-1.2604,2.08E-01,0.9188
CLCN4,0.0739,0.0587,1.2603,2.08E-01,0.9188
RECQL,0.055,0.0436,1.2603,2.08E-01,0.9188
ESCO2,0.0615,0.0488,1.2601,2.09E-01,0.9188
KLHL24,-0.0569,0.0451,-1.26,2.09E-01,0.9189
CWC15,-0.0591,0.0469,-1.2598,2.09E-01,0.919
COQ10A,-0.0632,0.0502,-1.2594,2.09E-01,0.9193
PPFIA4,-0.0766,0.0608,-1.2593,2.09E-01,0.9193
GRAP2,0.0729,0.0579,1.2591,2.09E-01,0.9193
HIST1H2AK,-0.0747,0.0593,-1.2589,2.09E-01,0.9193
DPY19L4,-0.0526,0.0418,-1.2588,2.09E-01,0.9193
NAT15,0.0611,0.0486,1.2588,2.09E-01,0.9193
DDR2,0.0717,0.057,1.2584,2.09E-01,0.9195
EXOC6B,0.0667,0.053,1.2583,2.09E-01,0.9195
NEK2,-0.061,0.0485,-1.2582,2.09E-01,0.9195
PITRM1,0.0668,0.0531,1.2581,2.09E-01,0.9195
FXR2,0.0548,0.0436,1.2576,2.09E-01,0.92
HSF2BP,-0.0689,0.0548,-1.2574,2.09E-01,0.9201
PATL1,0.0546,0.0434,1.2572,2.10E-01,0.9203
GIMAP2,0.0718,0.0571,1.2568,2.10E-01,0.9203
ERH,-0.0565,0.045,-1.2568,2.10E-01,0.9203
UBE2Q1,-0.058,0.0462,-1.2567,2.10E-01,0.9203
HACL1,0.0583,0.0464,1.2561,2.10E-01,0.9208
FABP5,-0.0858,0.0683,-1.256,2.10E-01,0.9208
C14orf143,-0.0565,0.045,-1.256,2.10E-01,0.9208
LOC541473,-0.0815,0.0649,-1.2559,2.10E-01,0.9208
AMPH,0.0772,0.0615,1.2557,2.10E-01,0.9208
IL22RA1,-0.0789,0.0629,-1.2553,2.10E-01,0.9211
MLLT1,-0.055,0.0438,-1.2551,2.10E-01,0.9211
ETS2,-0.07,0.0558,-1.2551,2.10E-01,0.9211
CD2BP2,-0.0538,0.0429,-1.255,2.10E-01,0.9211
CATSPER3,-0.0763,0.0608,-1.2549,2.10E-01,0.9211
SFRS5,-0.0503,0.0401,-1.2545,2.11E-01,0.9212
UNC5CL,-0.0779,0.0621,-1.2545,2.11E-01,0.9212
FKBP15,0.0523,0.0417,1.2544,2.11E-01,0.9212
MTCH1,0.0566,0.0451,1.2542,2.11E-01,0.9213
APPBP2,0.0508,0.0405,1.2539,2.11E-01,0.9213
NCRNA00202,-0.0821,0.0655,-1.2539,2.11E-01,0.9213
KIF22,-0.0627,0.05,-1.2536,2.11E-01,0.9214
CHML,-0.0631,0.0504,-1.2536,2.11E-01,0.9214
KRTAP3-3,-0.0628,0.0501,-1.2532,2.11E-01,0.9215
SCRN2,-0.0678,0.0541,-1.2532,2.11E-01,0.9215
CAPN12,-0.0713,0.0569,-1.253,2.11E-01,0.9217
RNFT1,0.0596,0.0476,1.2527,2.11E-01,0.9219
SCG5,-0.0757,0.0604,-1.2525,2.11E-01,0.9219
TMEM27,-0.0714,0.057,-1.2524,2.11E-01,0.9219
VPS53,0.0617,0.0493,1.2522,2.11E-01,0.9219
NIPAL1,0.0681,0.0544,1.2521,2.11E-01,0.9219
DEPDC4,-0.0686,0.0548,-1.252,2.11E-01,0.9219
SCARNA21,-0.0822,0.0657,-1.2517,2.12E-01,0.9223
Sep-10,0.0578,0.0462,1.2515,2.12E-01,0.9223
DHRS2,0.0785,0.0627,1.2512,2.12E-01,0.9226
COL18A1,-0.0721,0.0577,-1.2508,2.12E-01,0.9227
JUND,-0.0731,0.0584,-1.2508,2.12E-01,0.9227
C22orf31,-0.0736,0.0589,-1.2503,2.12E-01,0.923
CHRM1,-0.0767,0.0614,-1.2502,2.12E-01,0.923
CCRL2,0.0718,0.0575,1.2502,2.12E-01,0.923
ZNF786,0.0561,0.0449,1.25,2.12E-01,0.923
PHF20L1,0.0555,0.0444,1.2496,2.12E-01,0.923
HTR1F,-0.0717,0.0574,-1.2496,2.12E-01,0.923
CNBP,-0.0527,0.0422,-1.2495,2.12E-01,0.923
RECQL4,-0.0743,0.0594,-1.2494,2.12E-01,0.923
LIME1,-0.082,0.0657,-1.2488,2.13E-01,0.923
SLC20A1,0.0622,0.0498,1.2488,2.13E-01,0.923
RPTN,-0.0715,0.0573,-1.2487,2.13E-01,0.923
FBXL3,0.0506,0.0405,1.2487,2.13E-01,0.923
SNORA31,-0.0849,0.068,-1.2486,2.13E-01,0.923
C16orf13,-0.0795,0.0637,-1.2485,2.13E-01,0.923
PRPF4,0.0587,0.047,1.2485,2.13E-01,0.923
APOL1,0.0799,0.064,1.2484,2.13E-01,0.923
MAGI2,-0.065,0.0521,-1.2483,2.13E-01,0.923
LHFPL4,-0.0798,0.064,-1.248,2.13E-01,0.9233
LOC729375,-0.0742,0.0594,-1.2477,2.13E-01,0.9234
SYNJ1,0.0602,0.0482,1.2476,2.13E-01,0.9234
POU2F3,0.0719,0.0576,1.2475,2.13E-01,0.9234
XPNPEP3,0.0615,0.0493,1.2473,2.13E-01,0.9234
PMS2L5,-0.08,0.0642,-1.2471,2.13E-01,0.9234
IGFL1,0.0776,0.0622,1.247,2.13E-01,0.9234
TINAG,-0.067,0.0537,-1.2469,2.13E-01,0.9234
ATP8B3,0.0769,0.0617,1.2465,2.13E-01,0.9234
POLR2I,-0.0749,0.0601,-1.2464,2.13E-01,0.9234
OR1Q1,-0.073,0.0586,-1.2464,2.14E-01,0.9234
CLCA2,-0.0803,0.0644,-1.2462,2.14E-01,0.9234
ARL13B,-0.0558,0.0448,-1.2458,2.14E-01,0.9234
POLR3D,0.0598,0.048,1.2457,2.14E-01,0.9234
ARHGEF4,-0.0707,0.0568,-1.2453,2.14E-01,0.9234
VPS36,0.0516,0.0415,1.2449,2.14E-01,0.9234
MAP3K4,-0.0556,0.0446,-1.2447,2.14E-01,0.9234
LOC80054,-0.0701,0.0563,-1.2445,2.14E-01,0.9234
RRP7B,-0.0839,0.0674,-1.2444,2.14E-01,0.9234
SCARNA7,-0.0882,0.0709,-1.2443,2.14E-01,0.9234
ALDH8A1,-0.0786,0.0631,-1.2443,2.14E-01,0.9234
PAGE2B,-0.0681,0.0547,-1.2442,2.14E-01,0.9234
CNR1,0.0755,0.0607,1.244,2.14E-01,0.9234
FAM128B,-0.0718,0.0577,-1.2439,2.14E-01,0.9234
ATP6V0D2,0.0774,0.0622,1.2438,2.14E-01,0.9234
FLVCR1,-0.0674,0.0542,-1.2438,2.14E-01,0.9234
GEMIN8,-0.0598,0.0481,-1.2437,2.14E-01,0.9234
FAM57A,0.0663,0.0533,1.2437,2.15E-01,0.9234
C2orf89,-0.0809,0.0651,-1.2435,2.15E-01,0.9234
B4GALT7,-0.0651,0.0524,-1.2434,2.15E-01,0.9234
CHRM5,-0.0754,0.0606,-1.2431,2.15E-01,0.9234
TOLLIP,0.0646,0.052,1.2429,2.15E-01,0.9234
RNF20,0.0513,0.0413,1.2427,2.15E-01,0.9234
LOC100125556,-0.0676,0.0544,-1.2426,2.15E-01,0.9234
PPP2R1B,0.0547,0.044,1.2425,2.15E-01,0.9234
MBTPS2,0.0527,0.0424,1.2424,2.15E-01,0.9234
FAM168B,0.0544,0.0438,1.2424,2.15E-01,0.9234
XKR4,0.0791,0.0637,1.2424,2.15E-01,0.9234
SCEL,0.0763,0.0614,1.2423,2.15E-01,0.9234
CCDC107,-0.0694,0.0558,-1.2423,2.15E-01,0.9234
CCNI2,-0.0739,0.0595,-1.2423,2.15E-01,0.9234
FNDC1,0.0765,0.0616,1.2421,2.15E-01,0.9234
IL7R,0.073,0.0588,1.242,2.15E-01,0.9234
KCNG1,0.0778,0.0627,1.2419,2.15E-01,0.9234
DCAF12L2,0.0735,0.0592,1.2416,2.15E-01,0.9234
ISOC2,0.062,0.0499,1.2416,2.15E-01,0.9234
RDH16,-0.0729,0.0587,-1.2416,2.15E-01,0.9234
FDFT1,0.0609,0.0491,1.2415,2.15E-01,0.9234
USP6NL,0.0598,0.0482,1.2414,2.15E-01,0.9234
APH1B,0.0676,0.0545,1.2404,2.16E-01,0.9247
MRPL33,0.0572,0.0461,1.2401,2.16E-01,0.9249
TMEM164,-0.0591,0.0476,-1.24,2.16E-01,0.9249
KLHL6,0.074,0.0597,1.2396,2.16E-01,0.9251
ZNF829,-0.0687,0.0554,-1.2393,2.16E-01,0.9251
POU6F1,-0.0625,0.0504,-1.2392,2.16E-01,0.9251
C17orf91,0.0661,0.0534,1.2392,2.16E-01,0.9251
ACACB,-0.0686,0.0554,-1.2388,2.16E-01,0.9251
SLC8A1,0.0653,0.0527,1.2388,2.16E-01,0.9251
CT45A5,0.0748,0.0604,1.2388,2.16E-01,0.9251
MAZ,-0.0623,0.0503,-1.2386,2.16E-01,0.9251
PKD1L3,-0.0811,0.0655,-1.2384,2.16E-01,0.9251
SMARCE1,-0.0533,0.043,-1.238,2.17E-01,0.9251
C17orf63,0.0621,0.0502,1.2378,2.17E-01,0.9251
DPY30,-0.0563,0.0455,-1.2375,2.17E-01,0.9251
GLDN,-0.0756,0.0611,-1.2375,2.17E-01,0.9251
GGT8P,-0.0864,0.0698,-1.2372,2.17E-01,0.9251
COPA,0.0563,0.0455,1.2371,2.17E-01,0.9251
MKS1,-0.0617,0.0499,-1.2368,2.17E-01,0.9251
LILRA6,0.0745,0.0602,1.2368,2.17E-01,0.9251
CDK2AP2,0.0692,0.0559,1.2368,2.17E-01,0.9251
FAM83B,-0.074,0.0599,-1.2368,2.17E-01,0.9251
COG6,0.0524,0.0424,1.2367,2.17E-01,0.9251
ZNF746,0.0517,0.0418,1.2367,2.17E-01,0.9251
CAB39L,-0.061,0.0494,-1.2366,2.17E-01,0.9251
LMX1B,-0.077,0.0623,-1.2366,2.17E-01,0.9251
MBD3,-0.0617,0.0499,-1.2366,2.17E-01,0.9251
C12orf73,-0.0618,0.05,-1.2361,2.17E-01,0.9251
SLC9A10,-0.0755,0.0611,-1.2361,2.17E-01,0.9251
CENPK,-0.0623,0.0504,-1.236,2.17E-01,0.9251
CCDC64,-0.0676,0.0547,-1.2358,2.17E-01,0.9251
APOL2,0.0724,0.0586,1.2357,2.17E-01,0.9251
NRK,-0.0709,0.0574,-1.2357,2.17E-01,0.9251
PSMD4,-0.063,0.051,-1.2355,2.18E-01,0.9251
LOC219347,-0.0695,0.0563,-1.2355,2.18E-01,0.9251
GLG1,0.0566,0.0458,1.2353,2.18E-01,0.9251
OSBPL3,0.0661,0.0535,1.2353,2.18E-01,0.9251
C5orf36,-0.0718,0.0581,-1.2347,2.18E-01,0.9256
TRIP10,-0.0637,0.0516,-1.2347,2.18E-01,0.9256
RAVER2,-0.0592,0.048,-1.2345,2.18E-01,0.9257
KIFC2,-0.0744,0.0603,-1.2344,2.18E-01,0.9257
TNF,0.0762,0.0617,1.2343,2.18E-01,0.9257
ADCY5,0.0712,0.0577,1.2339,2.18E-01,0.926
MTMR9,0.0542,0.0439,1.2338,2.18E-01,0.926
PARP14,0.0633,0.0513,1.2336,2.18E-01,0.926
C1orf161,0.0742,0.0601,1.2335,2.18E-01,0.926
SIGLEC8,0.0758,0.0614,1.2332,2.18E-01,0.926
HIC2,-0.0619,0.0502,-1.233,2.18E-01,0.926
B4GALT2,-0.0584,0.0474,-1.2323,2.19E-01,0.926
MMGT1,0.0546,0.0443,1.2323,2.19E-01,0.926
CRYBB1,0.0844,0.0685,1.2322,2.19E-01,0.926
LUM,0.0665,0.054,1.2321,2.19E-01,0.926
NCRNA00086,0.0693,0.0563,1.2318,2.19E-01,0.926
DDX28,0.0583,0.0473,1.2318,2.19E-01,0.926
ELAC2,0.0563,0.0457,1.2318,2.19E-01,0.926
GABRG3,0.0746,0.0606,1.2317,2.19E-01,0.926
NAV3,-0.0784,0.0636,-1.2316,2.19E-01,0.926
FCAR,0.0743,0.0604,1.2315,2.19E-01,0.926
RPSAP58,-0.0792,0.0644,-1.2314,2.19E-01,0.926
BLM,-0.0609,0.0495,-1.2314,2.19E-01,0.926
NAA15,0.0505,0.041,1.2311,2.19E-01,0.926
UBE2J2,-0.0582,0.0473,-1.2304,2.19E-01,0.926
RPL35,-0.068,0.0553,-1.2302,2.20E-01,0.926
DUSP12,-0.0566,0.046,-1.2302,2.20E-01,0.926
PRDM10,0.0503,0.0409,1.23,2.20E-01,0.926
SPN,0.0738,0.06,1.23,2.20E-01,0.926
KLHL9,0.049,0.0399,1.2298,2.20E-01,0.926
ZNF28,0.0564,0.0459,1.2297,2.20E-01,0.926
RGS18,0.0694,0.0565,1.2296,2.20E-01,0.926
ATAD3B,-0.0691,0.0562,-1.2296,2.20E-01,0.926
PRICKLE3,0.0634,0.0516,1.229,2.20E-01,0.926
AGAP8,-0.0882,0.0718,-1.2288,2.20E-01,0.926
CPNE9,-0.0773,0.0629,-1.2287,2.20E-01,0.926
LOC100133985,0.0732,0.0596,1.2283,2.20E-01,0.926
MAPK8,0.0558,0.0454,1.2281,2.20E-01,0.926
PALM,0.072,0.0586,1.2275,2.21E-01,0.926
ALDH6A1,0.0684,0.0557,1.2275,2.21E-01,0.926
CHST6,0.0805,0.0656,1.2274,2.21E-01,0.926
E2F4,0.0524,0.0427,1.2274,2.21E-01,0.926
POF1B,-0.0741,0.0604,-1.2271,2.21E-01,0.926
SLAMF7,0.0749,0.061,1.227,2.21E-01,0.926
SEC23IP,0.0518,0.0422,1.227,2.21E-01,0.926
TUG1,-0.0493,0.0402,-1.2269,2.21E-01,0.926
ADAMTSL3,0.0767,0.0625,1.2268,2.21E-01,0.926
TBC1D3,-0.0832,0.0678,-1.2267,2.21E-01,0.926
LOC389791,-0.0758,0.0618,-1.2265,2.21E-01,0.926
ATP5B,0.0572,0.0466,1.2264,2.21E-01,0.926
GGT3P,-0.0883,0.072,-1.2263,2.21E-01,0.926
FITM1,-0.0811,0.0661,-1.226,2.21E-01,0.926
ZNF738,-0.0621,0.0506,-1.226,2.21E-01,0.926
FLJ40852,-0.0703,0.0573,-1.2259,2.21E-01,0.926
C10orf4,-0.0594,0.0485,-1.2259,2.21E-01,0.926
MGAT5,0.0673,0.0549,1.2258,2.21E-01,0.926
ANGPTL4,0.0773,0.0631,1.2258,2.21E-01,0.926
CCDC28B,-0.0721,0.0588,-1.2258,2.21E-01,0.926
ALDOC,0.0779,0.0636,1.2258,2.21E-01,0.926
PIGZ,-0.078,0.0636,-1.2254,2.21E-01,0.926
PROZ,-0.0784,0.064,-1.2252,2.21E-01,0.926
PTPN2,-0.049,0.04,-1.2247,2.22E-01,0.926
ATG4B,-0.0605,0.0494,-1.2243,2.22E-01,0.926
ARMC5,-0.0589,0.0481,-1.2243,2.22E-01,0.926
ECHDC1,-0.0601,0.0491,-1.2239,2.22E-01,0.926
NTN5,-0.0794,0.0649,-1.2235,2.22E-01,0.926
CHAD,-0.0722,0.059,-1.2235,2.22E-01,0.926
NEB,0.078,0.0638,1.2233,2.22E-01,0.926
MARK3,-0.0507,0.0415,-1.2232,2.22E-01,0.926
SLC38A10,-0.0612,0.05,-1.2232,2.22E-01,0.926
C9orf16,-0.0727,0.0594,-1.2232,2.22E-01,0.926
NFIL3,0.0587,0.048,1.2226,2.22E-01,0.926
ABI3BP,0.0763,0.0624,1.2226,2.22E-01,0.926
C9orf68,-0.0752,0.0615,-1.2224,2.22E-01,0.926
ZFYVE26,0.0574,0.047,1.2219,2.23E-01,0.926
C14orf64,0.0765,0.0626,1.2219,2.23E-01,0.926
TMEM229B,0.0717,0.0587,1.2218,2.23E-01,0.926
PODXL,0.0697,0.0571,1.2218,2.23E-01,0.926
RANBP10,0.0566,0.0464,1.2217,2.23E-01,0.926
RASGRF1,0.0822,0.0673,1.2216,2.23E-01,0.926
NDUFA8,-0.0596,0.0488,-1.2213,2.23E-01,0.926
LOX,0.0726,0.0595,1.2212,2.23E-01,0.926
VAMP4,-0.0599,0.049,-1.221,2.23E-01,0.926
ICOSLG,0.0713,0.0584,1.2209,2.23E-01,0.926
MICA,-0.0657,0.0538,-1.2206,2.23E-01,0.926
CCDC152,-0.0677,0.0554,-1.2205,2.23E-01,0.926
CLIP3,-0.0679,0.0556,-1.2205,2.23E-01,0.926
CFB,0.0752,0.0616,1.2203,2.23E-01,0.926
NACA,-0.0585,0.0479,-1.22,2.23E-01,0.926
MUSTN1,-0.0756,0.062,-1.2197,2.23E-01,0.926
IFT27,-0.0707,0.058,-1.2196,2.24E-01,0.926
ISG20,0.0754,0.0619,1.2193,2.24E-01,0.926
CT45A4,0.0768,0.063,1.2191,2.24E-01,0.926
HSPB2,-0.0735,0.0603,-1.219,2.24E-01,0.926
FGFR4,-0.0801,0.0657,-1.219,2.24E-01,0.926
LOC158572,-0.0592,0.0486,-1.2186,2.24E-01,0.926
NASP,-0.058,0.0476,-1.2185,2.24E-01,0.926
C9orf43,-0.0711,0.0584,-1.2184,2.24E-01,0.926
WFDC5,0.0681,0.0559,1.2184,2.24E-01,0.926
TRMT2B,-0.0553,0.0454,-1.2182,2.24E-01,0.926
CTSC,0.0648,0.0532,1.2181,2.24E-01,0.926
UBE2D3,0.0439,0.0361,1.218,2.24E-01,0.926
ACLY,0.0563,0.0462,1.218,2.24E-01,0.926
EDA2R,0.0734,0.0603,1.218,2.24E-01,0.926
ZIK1,0.0712,0.0585,1.2178,2.24E-01,0.926
ZNF563,-0.0601,0.0493,-1.2177,2.24E-01,0.926
CLK2P,-0.0825,0.0678,-1.2177,2.24E-01,0.926
CCDC47,0.0504,0.0414,1.2176,2.24E-01,0.926
FRMPD1,-0.0775,0.0637,-1.2176,2.24E-01,0.926
SFT2D3,-0.0555,0.0456,-1.2175,2.24E-01,0.926
SAE1,0.0558,0.0459,1.2173,2.24E-01,0.926
C11orf59,0.0558,0.0459,1.2172,2.24E-01,0.926
XKRX,-0.0743,0.061,-1.2172,2.24E-01,0.926
TGFBRAP1,0.0628,0.0516,1.2172,2.24E-01,0.926
PVT1,-0.0819,0.0673,-1.2172,2.24E-01,0.926
SDHAP1,-0.0769,0.0632,-1.217,2.24E-01,0.926
C1orf74,-0.0576,0.0473,-1.2169,2.25E-01,0.926
C12orf60,-0.0639,0.0525,-1.2169,2.25E-01,0.926
TULP1,-0.0689,0.0566,-1.2169,2.25E-01,0.926
C13orf34,-0.059,0.0485,-1.2169,2.25E-01,0.926
ZNF462,-0.0721,0.0593,-1.2168,2.25E-01,0.926
C2orf3,-0.0537,0.0442,-1.2168,2.25E-01,0.926
ITIH5L,0.0664,0.0545,1.2167,2.25E-01,0.926
NAT9,-0.0552,0.0453,-1.2164,2.25E-01,0.926
STK11,-0.0563,0.0463,-1.2162,2.25E-01,0.926
PRKCDBP,-0.0776,0.0638,-1.2162,2.25E-01,0.926
TOX3,-0.074,0.0609,-1.2161,2.25E-01,0.926
ANKRD9,-0.0722,0.0594,-1.2158,2.25E-01,0.926
C19orf70,-0.0662,0.0544,-1.2156,2.25E-01,0.926
ZSCAN18,-0.0595,0.049,-1.2153,2.25E-01,0.926
SSTR3,0.0698,0.0574,1.2153,2.25E-01,0.926
BCAT2,0.0656,0.054,1.2153,2.25E-01,0.926
RALB,0.0543,0.0447,1.2151,2.25E-01,0.926
UBE2Z,0.05,0.0412,1.2151,2.25E-01,0.926
TROAP,-0.0693,0.057,-1.215,2.25E-01,0.926
SCGB3A1,-0.0869,0.0715,-1.215,2.25E-01,0.926
EIF2C1,0.0571,0.047,1.2149,2.25E-01,0.926
HTR3A,0.0764,0.0629,1.2146,2.25E-01,0.926
LYSMD2,0.0634,0.0522,1.2146,2.25E-01,0.926
TMOD3,0.0537,0.0442,1.2145,2.25E-01,0.926
FAM72B,-0.0625,0.0514,-1.2145,2.25E-01,0.926
CLASP1,0.0533,0.0439,1.2143,2.26E-01,0.926
SAMD14,-0.0724,0.0596,-1.2142,2.26E-01,0.926
NOTCH4,-0.0644,0.0531,-1.2137,2.26E-01,0.926
C9orf5,0.0539,0.0444,1.2136,2.26E-01,0.926
PGAM2,-0.0712,0.0587,-1.2136,2.26E-01,0.926
NDUFV3,-0.0638,0.0525,-1.2136,2.26E-01,0.926
TNPO1,0.0478,0.0394,1.2136,2.26E-01,0.926
SAR1B,0.059,0.0486,1.2135,2.26E-01,0.926
FDPS,-0.0555,0.0457,-1.2133,2.26E-01,0.926
P4HA1,0.0594,0.049,1.2133,2.26E-01,0.926
ABCF3,-0.056,0.0462,-1.2131,2.26E-01,0.926
TBX6,-0.0703,0.058,-1.2131,2.26E-01,0.926
VIM,0.0698,0.0575,1.2127,2.26E-01,0.926
FAM131A,-0.0583,0.048,-1.2126,2.26E-01,0.926
LRRN2,0.0687,0.0566,1.2125,2.26E-01,0.926
TBC1D10B,-0.0555,0.0458,-1.2125,2.26E-01,0.926
PTK2,0.0516,0.0426,1.2125,2.26E-01,0.926
LSAMP,0.0743,0.0612,1.2124,2.26E-01,0.926
FTSJD1,0.0559,0.0461,1.2122,2.26E-01,0.926
STX5,0.0571,0.0471,1.2121,2.26E-01,0.926
NECAP2,0.0519,0.0428,1.2121,2.26E-01,0.926
NDOR1,-0.0637,0.0526,-1.2117,2.26E-01,0.926
KIAA0319,-0.0734,0.0606,-1.2116,2.27E-01,0.926
KRTDAP,-0.0771,0.0636,-1.2113,2.27E-01,0.926
RBM43,0.0596,0.0492,1.2113,2.27E-01,0.926
LZTS2,-0.0588,0.0485,-1.2113,2.27E-01,0.926
TSG101,0.0494,0.0408,1.211,2.27E-01,0.926
EIF4A1,0.0588,0.0486,1.211,2.27E-01,0.926
FAM40A,0.0505,0.0417,1.211,2.27E-01,0.926
C10orf71,0.0668,0.0552,1.2109,2.27E-01,0.926
LOC100170939,-0.0831,0.0686,-1.2109,2.27E-01,0.926
RNF212,-0.0718,0.0593,-1.2108,2.27E-01,0.926
NACC2,0.0745,0.0615,1.2108,2.27E-01,0.926
LOC643387,-0.0814,0.0672,-1.2107,2.27E-01,0.926
TXNDC17,0.0564,0.0466,1.2105,2.27E-01,0.926
PFDN2,-0.0672,0.0555,-1.2104,2.27E-01,0.926
ACSBG1,0.0721,0.0596,1.2104,2.27E-01,0.926
TAF6L,-0.0597,0.0493,-1.2103,2.27E-01,0.926
C10orf110,-0.0649,0.0536,-1.2103,2.27E-01,0.926
IL23R,0.0676,0.0558,1.2101,2.27E-01,0.926
CSNK2B,-0.0596,0.0493,-1.2101,2.27E-01,0.926
LOC55908,-0.0785,0.0648,-1.2101,2.27E-01,0.926
SMOC1,0.0794,0.0656,1.2099,2.27E-01,0.926
CD93,0.0639,0.0528,1.2098,2.27E-01,0.926
LRP8,0.069,0.0571,1.2093,2.27E-01,0.926
GTF2H5,-0.0581,0.048,-1.2091,2.28E-01,0.926
NBAS,0.0581,0.0481,1.2089,2.28E-01,0.926
C17orf51,0.0661,0.0547,1.2088,2.28E-01,0.926
SCAMP4,0.0618,0.0511,1.2088,2.28E-01,0.926
RAMP1,0.0702,0.0581,1.2085,2.28E-01,0.926
CDK11A,-0.0694,0.0574,-1.2085,2.28E-01,0.926
ATP5G2,-0.0612,0.0507,-1.2083,2.28E-01,0.926
